{name: Hydrogen; symbol: H; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 1.0079}
{name: Manganese; symbol: Mn; metallicProperties: Metallic; matterState: Solid; atomicMass: 54.938}
{name: Iron; symbol: Fe; metallicProperties: Metallic; matterState: Solid; atomicMass: 55.845}
{name: Cobalt; symbol: Co; metallicProperties: Metallic; matterState: Solid; atomicMass: 58.9332}
{name: Nickel; symbol: Ni; metallicProperties: Metallic; matterState: Solid; atomicMass: 58.6934}
{name: Copper; symbol: Cu; metallicProperties: Metallic; matterState: Solid; atomicMass: 63.546}
{name: Zinc; symbol: Zn; metallicProperties: Metallic; matterState: Solid; atomicMass: 65.39}
{name: Gallium; symbol: Ga; metallicProperties: Metallic; matterState: Solid; atomicMass: 69.723}
{name: Germanium; symbol: Ge; metallicProperties: Metalloid; matterState: Solid; atomicMass: 72.64}
{name: Arsenic; symbol: As; metallicProperties: Metalloid; matterState: Solid; atomicMass: 74.9216}
{name: Selenium; symbol: Se; metallicProperties: Non-metallic; matterState: Solid; atomicMass: 78.96}
{name: Bromine; symbol: Br; metallicProperties: Non-metallic; matterState: Liquid; atomicMass: 79.904}
{name: Krypton; symbol: Kr; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 83.8}
{name: Rubidium; symbol: Rb; metallicProperties: Metallic; matterState: Solid; atomicMass: 85.4678}
{name: Strontium; symbol: Sr; metallicProperties: Metallic; matterState: Solid; atomicMass: 87.62}
{name: Yttrium; symbol: Y; metallicProperties: Metallic; matterState: Solid; atomicMass: 88.9059}
{name: Zirconium; symbol: Zr; metallicProperties: Metallic; matterState: Solid; atomicMass: 91.224}
{name: Niobium; symbol: Nb; metallicProperties: Metallic; matterState: Solid; atomicMass: 92.9064}
{name: Molybdenum; symbol: Mo; metallicProperties: Metallic; matterState: Solid; atomicMass: 95.94}
{name: Technetium; symbol: Tc; metallicProperties: Metallic; matterState: Solid; atomicMass: 98.0}
{name: Ruthenium; symbol: Ru; metallicProperties: Metallic; matterState: N/A; atomicMass: 101.07}
{name: Rhodium; symbol: Rh; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 102.9055}
{name: Palladium; symbol: Pd; metallicProperties: Metallic; matterState: Solid; atomicMass: 106.42}
{name: Silver; symbol: Ag; metallicProperties: Metallic; matterState: Solid; atomicMass: 107.8682}
{name: Cadmium; symbol: Cd; metallicProperties: Metallic; matterState: Solid; atomicMass: 112.411}
{name: Indium; symbol: In; metallicProperties: Metallic; matterState: Solid; atomicMass: 114.818}
{name: Tin; symbol: Sn; metallicProperties: Metallic; matterState: Solid; atomicMass: 118.71}
{name: Antimony; symbol: Sb; metallicProperties: Metalloid; matterState: Solid; atomicMass: 121.76}
{name: Tellurium; symbol: Te; metallicProperties: Metalloid; matterState: Solid; atomicMass: 127.6}
{name: Iodine; symbol: I; metallicProperties: Non-metallic; matterState: N/A; atomicMass: 126.9045}
{name: Xenon; symbol: Xe; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 131.293}
{name: Caesium; symbol: Cs; metallicProperties: Metallic; matterState: Solid; atomicMass: 132.9055}
{name: Barium; symbol: Ba; metallicProperties: Metallic; matterState: Solid; atomicMass: 137.327}
{name: Lanthanum; symbol: La; metallicProperties: Metallic; matterState: Solid; atomicMass: 138.9055}
{name: Cerium; symbol: Ce; metallicProperties: Metallic; matterState: Solid; atomicMass: 140.116}
{name: Praseodymium; symbol: Pr; metallicProperties: Metallic; matterState: Solid; atomicMass: 140.9077}
{name: Neodymium; symbol: Nd; metallicProperties: Metallic; matterState: Solid; atomicMass: 144.24}
{name: Prometheum; symbol: Pm; metallicProperties: Metallic; matterState: Solid; atomicMass: 145.0}
{name: Samarium; symbol: Sm; metallicProperties: Metallic; matterState: Solid; atomicMass: 150.36}
{name: Europium; symbol: Eu; metallicProperties: Metallic; matterState: Solid; atomicMass: 151.964}
{name: Gadolinium; symbol: Gd; metallicProperties: Metallic; matterState: Solid; atomicMass: 157.25}
{name: Terbium; symbol: Tb; metallicProperties: Metallic; matterState: Solid; atomicMass: 158.9253}
{name: Dysprosium; symbol: Dy; metallicProperties: Metallic; matterState: Solid; atomicMass: 162.5}
{name: Holmium; symbol: Ho; metallicProperties: Metallic; matterState: Solid; atomicMass: 164.9303}
{name: Erbium; symbol: Er; metallicProperties: Metallic; matterState: Solid; atomicMass: 167.259}
{name: Thulium; symbol: Tm; metallicProperties: Metallic; matterState: Solid; atomicMass: 168.9342}
{name: Ytterbium; symbol: Yb; metallicProperties: Metallic; matterState: Solid; atomicMass: 173.04}
{name: Lutetnium; symbol: Lu; metallicProperties: Metallic; matterState: Solid; atomicMass: 174.967}
{name: Hafnium; symbol: Hf; metallicProperties: Metallic; matterState: Solid; atomicMass: 178.49}
{name: Tantalum; symbol: Tb; metallicProperties: Metallic; matterState: Solid; atomicMass: 180.9479}
{name: Tungsten; symbol: W; metallicProperties: Metallic; matterState: Solid; atomicMass: 183.84}
{name: Rhenium; symbol: Re; metallicProperties: Metallic; matterState: Solid; atomicMass: 186.207}
{name: Osmium; symbol: Os; metallicProperties: Metallic; matterState: Solid; atomicMass: 190.23}
{name: Iridium; symbol: Ir; metallicProperties: Metallic; matterState: Solid; atomicMass: 192.217}
{name: Platinum; symbol: Pt; metallicProperties: Metallic; matterState: Solid; atomicMass: 195.078}
{name: Gold; symbol: Au; metallicProperties: Metallic; matterState: N/A; atomicMass: 196.9665}
{name: Mercury; symbol: Hg; metallicProperties: Metallic; matterState: Liquid; atomicMass: 200.59}
{name: Thallium; symbol: Tl; metallicProperties: Metallic; matterState: Solid; atomicMass: 204.3833}
{name: Lead; symbol: Pb; metallicProperties: Metallic; matterState: Solid; atomicMass: 207.2}
{name: Bismuth; symbol: Bi; metallicProperties: Metallic; matterState: Solid; atomicMass: 208.9804}
{name: Polonium; symbol: Po; metallicProperties: Metalloid; matterState: Solid; atomicMass: 209.0}
{name: Astatine; symbol: At; metallicProperties: Non-metallic; matterState: N/A; atomicMass: 210.0}
{name: Radon; symbol: Rn; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 222.0}
{name: Francium; symbol: Fr; metallicProperties: Metallic; matterState: Solid; atomicMass: 223.0}
{name: Radium; symbol: Ra; metallicProperties: Metallic; matterState: Solid; atomicMass: 226.0}
{name: Actinium; symbol: Ac; metallicProperties: Metallic; matterState: Solid; atomicMass: 227.0}
{name: Thorium; symbol: Th; metallicProperties: Metallic; matterState: Solid; atomicMass: 232.0831}
{name: Protactium; symbol: Pa; metallicProperties: Metallic; matterState: Solid; atomicMass: 231.3059}
{name: Uranium; symbol: U; metallicProperties: Metallic; matterState: N/A; atomicMass: 238.0289}
{name: Neptunium; symbol: Np; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 237.0}
{name: Plutonium; symbol: Pu; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 244.0}
{name: Americium; symbol: Am; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 243.0}
{name: Curium; symbol: Cm; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 247.0}
{name: Berkelium; symbol: Bk; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 247.0}
{name: Californium; symbol: Cf; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 251.0}
{name: Einsteinium; symbol: Es; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 252.0}
{name: Fermium; symbol: Fm; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 257.0}
{name: Mendelevium; symbol: Md; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 258.0}
{name: Nobelium; symbol: No; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 259.0}
{name: Lawrencium; symbol: Lr; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 262.0}
{name: Rutherfordium; symbol: Rf; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 267.0}
{name: Dubnium; symbol: Db; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 268.0}
{name: Seaborgium; symbol: Sg; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 271.0}
{name: Bohrium; symbol: Bh; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 272.0}
{name: Hassium; symbol: Hs; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 270.0}
{name: Meitnerium; symbol: Mt; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 276.0}
{name: Darmstadtium; symbol: Ds; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 281.0}
{name: Roentgenium; symbol: Rg; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 280.0}
{name: Copernicium; symbol: Cn; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 285.0}
{name: Ununtrium; symbol: Uut; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 284.0}
{name: Flevorium; symbol: Fl; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 289.0}
{name: Ununpentium; symbol: Uup; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 288.0}
{name: Livermorium; symbol: Lv; metallicProperties: Metallic; matterState: Synthetic; atomicMass: 293.0}
{name: Ununseptium; symbol: Uus; metallicProperties: Non-metallic; matterState: Synthetic; atomicMass: 294.0}
{name: Ununoctium; symbol: Uuo; metallicProperties: Non-metallic; matterState: Synthetic; atomicMass: 294.0}
